,TC_ID,test_Case_Name,Source_name,target_name,Number_of_source_Records,Number_of_target_Records,Number_of_failed_Records,column,Status
0,2,duplicate_validation,NA,contact_info_bronze,NA,10,0,IDENTIFIER,pass
1,1,Count_validation,contact_info_raw,contact_info_bronze,10,10,0,IDENTIFIER,pass
